author	gender	age_group	extroverted	stable	agreeable	conscientious	open	documents	semicleaned	tokenized	pos_fw
3e2cdc34	M	25-34	0.3	0.5	0.1	0.2	0.2	"How to Test Your Startup Idea for $50 http://t.co/JTRdxtnd		"	how to test your startup idea for $00 	how to test your startup idea for $ 00	how to VERB your NOUN NOUN for SYM NUM
3e2cdc34	M	25-34	0.3	0.5	0.1	0.2	0.2	"@username @username @username @username @username You've been quoted in my #Storify story ""New Story"" http://t.co/Uu5AggZP		"	" you've been quoted in my story ""new story"" "	"  you 've be quote in my story "" new story """	"SPACE you ' AUX be INTJ in my NOUN "" ADJ NOUN """
3e2cdc34	M	25-34	0.3	0.5	0.1	0.2	0.2	"New Story http://t.co/Uu5AggZP #storify #caceroludos		"	new story 	new story	ADJ NOUN
3e2cdc34	M	25-34	0.3	0.5	0.1	0.2	0.2	"@username @username @username @username You've been quoted in my   #Storify story #caceroludos http://t.co/Uu5AggZP		"	 you've been quoted in my story 	  you 've be quote in my story	SPACE you ' AUX be INTJ in my NOUN
3e2cdc34	M	25-34	0.3	0.5	0.1	0.2	0.2	"@username @username @username @username @username You've been quoted in my   #Storify story #caceroludos http://t.co/Uu5AggZP		"	 you've been quoted in my story 	  you 've be quote in my story	SPACE you ' AUX be INTJ in my NOUN
3e2cdc34	M	25-34	0.3	0.5	0.1	0.2	0.2	"@username You've been quoted in my   #Storify story #caceroludos http://t.co/Uu5AggZP		"	 you've been quoted in my story 	  you 've be quote in my story	SPACE you ' AUX be INTJ in my NOUN
3e2cdc34	M	25-34	0.3	0.5	0.1	0.2	0.2	"Business models are a commodity Stop asking ""But how will they make money?"": http://t.co/1lx60Fs9		"	"business models are a commodity stop asking ""but how will they make money?"": "	"business model be a commodity stop ask "" but how will they make money ? "" :"	"NOUN NOUN be a NOUN VERB NOUN "" but how will they make NOUN ? "" :"
3e2cdc34	M	25-34	0.3	0.5	0.1	0.2	0.2	"Y Combinator Alum Flutter Raises $1.4 Million For Gesture Recognition Tech  http://t.co/sKlQFKds		"	y combinator alum flutter raises $0.0 million for gesture recognition tech 	y combinator alum flutter raise $ 0.0 million for gesture recognition tech	PROPN VERB ADJ NOUN VERB SYM NUM NUM for ADJ NOUN NOUN
3e2cdc34	M	25-34	0.3	0.5	0.1	0.2	0.2	"Montreal Protests, 4 Months In (photos)- The Atlantic http://t.co/SVF238VM		"	montreal protests, 0 months in (photos)- the atlantic 	montreal protest , 0 month in ( photos)- the atlantic	PROPN NOUN , NUM NOUN in ( X the NOUN
3e2cdc34	M	25-34	0.3	0.5	0.1	0.2	0.2	"""I don't want to archieve immortality through my work... I want to achieve it through not dying.""  Woody Allen		"	"""i don't want to archieve immortality through my work. i want to achieve it through not dying."" woody allen "	""" I do not want to archieve immortality through my work . I want to achieve it through not die . "" woody allen"	""" I do not VERB to VERB NOUN through my NOUN . I VERB to VERB it through not VERB . "" NOUN VERB"
3e2cdc34	M	25-34	0.3	0.5	0.1	0.2	0.2	"Por comer en la oficina d Lvk (@username St. Andrews) http://t.co/vuR3WBK6		"	por comer en la oficina d lvk ( st. andrews) 	por comer en la oficina d lvk ( st . andrews )	NOUN NOUN ADP PROPN PROPN PROPN PROPN ( PROPN . PROPN )
3e2cdc34	M	25-34	0.3	0.5	0.1	0.2	0.2	"@username take it easy !		"	 take it easy ! 	  take it easy !	SPACE take it ADJ !
3e2cdc34	M	25-34	0.3	0.5	0.1	0.2	0.2	"I'm at Aeroparque Jorge Newbery (AEP) (Ciudad de Buenos Aires) w/ 7 others http://t.co/2eY8mVWH		"	i'm at aeroparque jorge newbery (aep) (ciudad de buenos aires) w/ 0 others 	I be at aeroparque jorge newbery ( aep ) ( ciudad de bueno aire ) w/ 0 other	I be at ADJ NOUN NOUN ( PROPN ) ( PROPN X PROPN NOUN ) NOUN NUM other
3e2cdc34	M	25-34	0.3	0.5	0.1	0.2	0.2	"@username, your Klout Score is decent (I'm a 53). Check out your @username profile today! http://t.co/RGRMddEm		"	, your klout score is decent (i'm a 00). check out your profile today! 	, your klout score be decent ( I be a 00 ) . check out your profile today !	, your NOUN NOUN be ADJ ( I be a NUM ) . VERB out your NOUN NOUN !
3e2cdc34	M	25-34	0.3	0.5	0.1	0.2	0.2	"Just posted a photo http://t.co/Mp1JLNrP		"	just posted a photo 	just post a photo	just VERB a NOUN
3e2cdc34	M	25-34	0.3	0.5	0.1	0.2	0.2	"Just posted a photo http://t.co/LelXvEPM		"	just posted a photo 	just post a photo	just VERB a NOUN
